[1] 233 {index_type: FLAT, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 175.55337190592934 0.9999830000000002 233
[1] 214 {index_type: FLAT, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 206.34603823140978 0.999984 214
[2] 335 {index_type: IVF_FLAT, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 206.34603823140978 0.999984 121
[1] 233 {index_type: FLAT, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 176.41455666508656 0.9999830000000002 233
[1] 224 {index_type: FLAT, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 0.06011457824206443 213.81332175789163 224
[2] 248 {index_type: IVF_FLAT, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 0.06011457824206443 213.81332175789163 23
[3] 248 {index_type: IVF_SQ8, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 0.06011457824206443 213.81332175789163 0
[4] 249 {index_type: IVF_PQ, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 0.06011457824206443 213.81332175789163 0
[5] 249 {index_type: HNSW, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 0.06011457824206443 213.81332175789163 0
[6] 255 {index_type: SCANN, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 0.06011457824206443 213.81332175789163 5
[1] 225 {index_type: FLAT, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 201.17651094754706 0.9999849999999999 225
[2] 432 {index_type: IVF_FLAT, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 645.6624027428785 0.8484139999999999 207
[3] 643 {index_type: IVF_SQ8, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 465.15242119696427 0.8455860000000001 210
[4] 850 {index_type: IVF_PQ, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 847.9877446435105 0.26685899999999996 207
[5] 1096 {index_type: HNSW, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 672.7244183771246 0.979593 245
[6] 1308 {index_type: SCANN, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 869.5144183191475 0.84578 212
[7] 1533 {index_type: AUTOINDEX, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 893.8969445345945 0.8198610000000001 224
[8] 1812 {index_type: FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.99, queryCoord*autoHandoff: False, queryCoord*autoBalance: False, common*gracefulTime: 100000, dataNode*segment*insertBufSize: 10000000000, rootCoord*minSegmentSizeToEnableIndex: 10000} 138.50125582533607 0.999999 279
[9] 2288 {index_type: IVF_FLAT, nlist: 615, nprobe: 362, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 37.93742194458198 0.9980620000000001 475
[10] 2579 {index_type: IVF_SQ8, nlist: 7027, nprobe: 70, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 261, dataCoord*segment*sealProportion: 0.22, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 2615, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 835} 744.1626157028751 0.810662 291
[11] 2852 {index_type: IVF_PQ, nlist: 7354, nprobe: 73, m: 10, nbits: 4, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 419, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5488, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2003} 787.0988366968093 0.22758700000000004 272
[12] 3332 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 31, efConstruction: 256, ef: 499, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 2404374941, rootCoord*minSegmentSizeToEnableIndex: 100} 47.137949351083215 0.9860470000000001 479
[13] 3634 {index_type: SCANN, nlist: 7149, nprobe: 71, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 100} {dataCoord*segment*maxSize: 2321, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 16468, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 782.7499730689404 0.804481 302
[14] 4059 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 7594} 56.03526887884786 0.8539709999999999 424
[15] 4441 {index_type: FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.32, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 10000} 49.39381517967277 0.9999800000000001 381
[16] 4892 {index_type: IVF_FLAT, nlist: 817, nprobe: 531, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 10000} 47.64327249433804 0.999107 451
[17] 5417 {index_type: IVF_FLAT, nlist: 10000, nprobe: 700, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1038} 39.880097563154415 0.975535 525
[18] 5942 {index_type: IVF_SQ8, nlist: 10000, nprobe: 200, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 4509332431, rootCoord*minSegmentSizeToEnableIndex: 1038} 40.54269103444701 0.9022530000000001 525
[19] 6498 {index_type: IVF_PQ, nlist: 10000, nprobe: 100, m: 20, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 917} 36.55900837789103 0.493809 555
[20] 6990 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 64, efConstruction: 8, ef: 1000, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 35.67149198430968 0.9874950000000001 492
[21] 7593 {index_type: SCANN, nlist: 10000, nprobe: 10000, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 514} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 32.583070235857484 0.9944880000000001 603
[22] 7853 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: False, queryCoord*autoBalance: True, common*gracefulTime: 62484, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 926.2929172645963 0.8567050000000002 260
[23] 8328 {index_type: IVF_FLAT, nlist: 10000, nprobe: 100, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: False, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 49.582827634902266 0.8593559999999999 475
[24] 8589 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 54268, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 165.60255127556687 0.9838320000000002 261
[25] 8898 {index_type: IVF_PQ, nlist: 10000, nprobe: 100, m: 20, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 114, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 2215, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1210} 654.5684360140275 0.49209899999999995 309
[26] 9174 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 41, efConstruction: 179, ef: 655, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.18, queryCoord*autoHandoff: False, queryCoord*autoBalance: True, common*gracefulTime: 70711, dataNode*segment*insertBufSize: 7809187392, rootCoord*minSegmentSizeToEnableIndex: 7861} 395.73177648323514 0.996389 275
[27] 9685 {index_type: IVF_SQ8, nlist: 9286, nprobe: 9007, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1755961855, rootCoord*minSegmentSizeToEnableIndex: 3976} 40.62705591227555 0.984877 510
[28] 10075 {index_type: IVF_PQ, nlist: 10000, nprobe: 100, m: 10, nbits: 9, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 35368, dataNode*segment*insertBufSize: 1025185737, rootCoord*minSegmentSizeToEnableIndex: 100} 810.9525322186645 0.383804 389
[29] 10345 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 27, efConstruction: 293, ef: 416, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 69875, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 581.2100667394558 0.9919520000000001 270
[30] 10595 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 462} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 26944, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 778.6045669545932 0.9951139999999999 250
[31] 10845 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 6369, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 24906, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 796.5578452873845 0.704233 250
[32] 11103 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 25639, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 169.8070601344016 0.9838490000000002 257
[33] 11470 {index_type: IVF_PQ, nlist: 235, nprobe: 2, m: 20, nbits: 9, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: False, queryCoord*autoBalance: True, common*gracefulTime: 78535, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 832.6844823392194 0.42621100000000006 367
[34] 11759 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 27, efConstruction: 320, ef: 748, reorder_k: 500} {dataCoord*segment*maxSize: 3616, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: False, queryCoord*autoBalance: True, common*gracefulTime: 88032, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 636.5521349752773 0.941208 288
[35] 11991 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 569} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: False, queryCoord*autoBalance: True, common*gracefulTime: 93988, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 738.9150760024088 0.9986810000000002 232
[36] 12226 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: False, queryCoord*autoBalance: True, common*gracefulTime: 100000, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 605.6075546451186 0.8885299999999999 235
[37] 12645 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 5, nbits: 10, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: False, queryCoord*autoBalance: True, common*gracefulTime: 70051, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 326.36565885638964 0.162213 418
[38] 12934 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 217, ef: 675, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.18, queryCoord*autoHandoff: False, queryCoord*autoBalance: True, common*gracefulTime: 100000, dataNode*segment*insertBufSize: 2114280505, rootCoord*minSegmentSizeToEnableIndex: 4451} 401.5008773458716 0.9961270000000001 289
[39] 13258 {index_type: SCANN, nlist: 10000, nprobe: 2200, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 665} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: False, queryCoord*autoBalance: True, common*gracefulTime: 100000, dataNode*segment*insertBufSize: 137194897, rootCoord*minSegmentSizeToEnableIndex: 100} 466.97760083153736 0.9986450000000001 323
[40] 13518 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 18839, dataNode*segment*insertBufSize: 10000000000, rootCoord*minSegmentSizeToEnableIndex: 100} 901.401291738361 0.872534 260
[41] 13819 {index_type: IVF_PQ, nlist: 10000, nprobe: 100, m: 20, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: False, queryCoord*autoBalance: True, common*gracefulTime: 67307, dataNode*segment*insertBufSize: 1123292514, rootCoord*minSegmentSizeToEnableIndex: 100} 713.0872164777105 0.49231100000000005 300
[42] 14088 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 31, efConstruction: 382, ef: 100, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: False, queryCoord*autoBalance: True, common*gracefulTime: 100000, dataNode*segment*insertBufSize: 10000000000, rootCoord*minSegmentSizeToEnableIndex: 100} 827.6642589901533 0.9231739999999999 268
